exception_id,initiative_id,severity,category,opened_date,age_days,status,owner
EX-0001,AI-006,Medium,Privacy,2025-01-10,16,Open,Risk
EX-0002,AI-011,High,Security,2025-01-19,29,Open,Security
EX-0003,AI-016,Critical,Monitoring,2025-01-28,42,Open,Business Operations
EX-0004,AI-021,Low,Oversight,2025-02-06,55,Open,Product
EX-0005,AI-026,Medium,Lineage,2025-02-15,0,Resolved,Data & AI
EX-0006,AI-031,High,Privacy,2025-02-24,81,Open,Risk
EX-0007,AI-036,Critical,Security,2025-03-05,94,Open,Security
EX-0008,AI-041,Low,Monitoring,2025-03-14,13,Open,Business Operations
EX-0009,AI-046,Medium,Oversight,2025-03-23,26,Open,Product
EX-0010,AI-051,High,Lineage,2025-04-01,0,Resolved,Data & AI
EX-0011,AI-056,Critical,Privacy,2025-04-10,52,Open,Risk
EX-0012,AI-061,Low,Security,2025-04-19,65,Open,Security
EX-0013,AI-066,Medium,Monitoring,2025-04-28,78,Open,Business Operations
EX-0014,AI-071,High,Oversight,2025-05-07,91,Open,Product
EX-0015,AI-076,Critical,Lineage,2025-05-16,0,Resolved,Data & AI
EX-0016,AI-081,Low,Privacy,2025-05-25,23,Open,Risk
EX-0017,AI-086,Medium,Security,2025-06-03,36,Open,Security
EX-0018,AI-091,High,Monitoring,2025-06-12,49,Open,Business Operations
EX-0019,AI-096,Critical,Oversight,2025-06-21,62,Open,Product
EX-0020,AI-101,Low,Lineage,2025-06-30,0,Resolved,Data & AI
EX-0021,AI-106,Medium,Privacy,2025-07-09,88,Open,Risk
EX-0022,AI-111,High,Security,2025-07-18,7,Open,Security
EX-0023,AI-116,Critical,Monitoring,2025-07-27,20,Open,Business Operations
EX-0024,AI-121,Low,Oversight,2025-08-05,33,Open,Product
EX-0025,AI-126,Medium,Lineage,2025-08-14,0,Resolved,Data & AI
EX-0026,AI-131,High,Privacy,2025-08-23,59,Open,Risk
EX-0027,AI-136,Critical,Security,2025-09-01,72,Open,Security
EX-0028,AI-141,Low,Monitoring,2025-09-10,85,Open,Business Operations
EX-0029,AI-146,Medium,Oversight,2025-09-19,4,Open,Product
EX-0030,AI-151,High,Lineage,2025-09-28,0,Resolved,Data & AI
EX-0031,AI-156,Critical,Privacy,2025-10-07,30,Open,Risk
